filename	onset	offset	event_label
00.wav	1.767	2.259	Alarm_bell_ringing
00.wav	4.970	5.489	Alarm_bell_ringing
00.wav	8.406	8.966	Speech
01.wav	0.333	0.815	Alarm_bell_ringing
01.wav	1.528	5.718	Alarm_bell_ringing
01.wav	7.073	7.389	Alarm_bell_ringing
01.wav	8.369	8.907	Speech
08.wav	3.943	4.478	Alarm_bell_ringing
09.wav	2.341	2.662	Alarm_bell_ringing
09.wav	3.146	3.620	Dog
09.wav	6.529	6.935	Speech
09.wav	9.438	9.758	Alarm_bell_ringing
100.wav	3.517	10.000	Blender
1002.wav	1.437	5.073	Frying
1002.wav	1.519	3.195	Speech
1002.wav	5.523	6.704	Speech
1002.wav	6.246	10.000	Frying
1007.wav	0.261	10.000	Frying
1007.wav	1.226	1.715	Speech
1007.wav	2.500	2.907	Speech
1008.wav	2.396	3.772	Speech
1008.wav	4.237	10.000	Frying
1009.wav	4.239	10.000	Frying
1010.wav	3.195	10.000	Frying
1014.wav	0.046	0.296	Dishes
1014.wav	1.246	10.000	Frying
1015.wav	5.311	10.000	Frying
1016.wav	3.983	4.233	Dishes
1016.wav	4.320	10.000	Frying
1019.wav	1.127	1.452	Dishes
1019.wav	3.976	4.389	Dishes
1019.wav	6.975	7.300	Dishes
1019.wav	9.168	10.000	Frying
1019.wav	9.170	9.617	Dishes
1021.wav	3.094	6.730	Frying
1021.wav	3.688	3.981	Dishes
1021.wav	4.778	5.028	Speech
1021.wav	5.789	6.390	Dishes
1021.wav	6.957	10.000	Frying
1021.wav	9.655	9.905	Speech
1026.wav	2.078	2.541	Dishes
1026.wav	4.119	6.081	Speech
1026.wav	5.033	10.000	Frying
1027.wav	1.305	1.555	Dishes
1027.wav	1.966	3.207	Speech
1027.wav	6.272	10.000	Frying
103.wav	2.598	3.893	Blender
103.wav	7.179	7.695	Blender
103.wav	8.992	10.000	Blender
103.wav	9.122	9.902	Dishes
1032.wav	0.895	1.423	Dishes
1032.wav	3.144	4.039	Dishes
1032.wav	3.542	4.020	Speech
1032.wav	4.212	4.770	Speech
1032.wav	5.118	6.215	Dishes
1032.wav	7.708	8.013	Dishes
1032.wav	8.219	8.580	Dishes
1032.wav	8.728	10.000	Frying
1032.wav	9.583	10.000	Speech
1033.wav	4.152	5.109	Dishes
1033.wav	4.470	10.000	Frying
1034.wav	3.730	10.000	Frying
1034.wav	8.802	10.000	Speech
1035.wav	4.808	10.000	Frying
1035.wav	7.379	7.629	Dishes
